year,PRCP,RD,Tmean,Tmin,Tmax,Tvar,FD,HD,GDD,Heat_Stress,Cold_Stress,Maize_sown_area,Maize_production,Maize_avg_yield,Yield_computed
1967,1071.22,153.8,10.619397260273974,6.04109589041096,15.903506849315068,9.862410958904109,116.6,49.4,3107.58,0.0,175.8,1236850,3522496,2850,2.8479573109107816
1968,1014.9,149.6,10.450874316939892,5.822404371584699,15.626775956284154,9.804371584699457,108.4,36.0,3006.92,3.2,185.4,1258441,3763964,2990,2.990973752444493
1969,1293.2199999999998,185.0,9.787397260273972,5.479178082191781,14.676219178082192,9.197041095890413,121.4,21.6,2829.36,0.0,193.2,1255140,4754199,3790,3.787783832879201
1970,1394.5,195.8,9.939835616438357,5.877589041095891,14.636986301369864,8.759397260273971,101.2,25.0,2658.28,0.0,176.0,1188605,4012862,3380,3.3761106507208027
1971,813.08,140.6,10.368602739726027,5.698191780821918,15.570301369863014,9.872109589041097,99.8,42.4,2886.84,1.6666666666666667,165.4,1320907,4674304,3540,3.538707872696564
1972,1235.22,159.0,10.385136612021858,6.154699453551912,15.353169398907102,9.198469945355187,78.6,32.4,2689.42,0.0,139.4,1392265,5536875,3980,3.9768829928210505
1973,848.8399999999999,129.4,10.206630136986302,5.689534246575343,15.29298630136986,9.60345205479452,85.0,33.8,2922.14,0.0,200.6,1460764,5910711,4050,4.046314805129371
1974,1426.34,194.8,10.74745205479452,6.583890410958904,15.587506849315067,9.003616438356165,28.6,35.6,2578.1400000000003,2.0,111.2,1461493,6194502,4240,4.238475312574196
1975,1186.6,149.8,10.863068493150683,6.584876712328767,15.896657534246575,9.311780821917807,72.0,13.25,2982.2200000000003,0.0,170.8,1412540,7087867,5020,5.017816840585045
1976,1117.0,159.0,9.973387978142076,5.634426229508197,14.838797814207648,9.204371584699452,118.4,20.8,2699.84,0.0,195.0,1339386,5097737,3810,3.8060252981590073
1977,1115.78,161.6,10.585041095890412,6.104219178082191,15.57841095890411,9.474191780821918,88.4,15.6,2715.96,0.0,158.8,1280531,5939462,4640,4.63828052581312
