EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-03-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
  851,259495,SZEGED KULTERULET                       ,HU,+46:15:22,+020:05:26,  81, RR9,20191201,20260228,   13,Monika Lakatos                                    
 2042,152455,SZOMBATHELY                             ,HU,+47:11:54,+016:38:52, 200, RR3,19010101,20260228,   13,Monika Lakatos                                    
 2042,258334,SZOMBATHELY                             ,HU,+47:11:54,+016:38:52, 200, RR9,20020101,20020423,   13,Monika Lakatos                                    
26562,100247,BUDAPEST BELTERULET                     ,HU,+47:30:40,+019:01:41, 152, RR3,19010101,20260228,   13,Monika Lakatos                                    
26562,258798,BUDAPEST LAGYMANYOS                     ,HU,+47:28:29,+019:03:43, 145, RR9,20020101,20260228,   13,Monika Lakatos                                    
26574,152450,SZEGED KULTERULET                       ,HU,+46:15:22,+020:05:26,  81, RR3,19010101,20201231,   13,Monika Lakatos                                    
26574,258923,SZEGED BELTERULET                       ,HU,+46:14:50,+020:08:26, 104, RR9,20020101,20260228,   13,Monika Lakatos                                    
26574,259495,SZEGED KULTERULET                       ,HU,+46:15:22,+020:05:26,  81, RR9,20191201,20260228,   13,Monika Lakatos                                    
26634,152440,DEBRECEN                                ,HU,+47:29:25,+021:36:39, 107, RR3,19010101,20201231,   13,Monika Lakatos                                    
26634,259443,DEBRECEN REPULOTER                      ,HU,+47:29:04,+021:36:20, 107, RR9,20161111,20260228,   13,Monika Lakatos                                    
26642,152440,DEBRECEN                                ,HU,+47:29:25,+021:36:39, 107, RR3,19010101,20201231,   13,Monika Lakatos                                    
26642,259443,DEBRECEN REPULOTER                      ,HU,+47:29:04,+021:36:20, 107, RR9,20161111,20260228,   13,Monika Lakatos                                    
26642,259522,DEBRECEN KISMACS                        ,HU,+47:34:36,+021:34:57, 125, RR9,20200131,20260228,   13,Monika Lakatos                                    
26652,152445,POGANY                                  ,HU,+45:59:42,+018:14:06, 199, RR3,19010101,20201231,   13,Monika Lakatos                                    
26652,259058,POGANY                                  ,HU,+45:59:42,+018:14:06, 199, RR9,20040401,20220110,   13,Monika Lakatos                                    
26652,259608,POGANY REPULOTER                        ,HU,+45:59:42,+018:14:06, 196, RR9,20210702,20260228,   13,Monika Lakatos                                    
